clone_id,cache_path,index,datatag,family,ref_datatag,uid,colour
A,/Users/sohrabsalehi/projects/fitness_material/fitness_code_repo/fitclone/data/SA535_combined_CISPLATIN_CX5461_to_Sohrab/processed/fitclone/sa535_cisplatin__285_1__2020121414-03-19.csv_SA535_CISPLATIN_CombinedU_new_divergent_colours_matching_new_.rds,1,SA535_CISPLATIN_CombinedU,SA535_CISPLATIN_Combined,SA535_CISPLATINU,A_SA535_CISPLATIN_Combined,#521913FF
B,/Users/sohrabsalehi/projects/fitness_material/fitness_code_repo/fitclone/data/SA535_combined_CISPLATIN_CX5461_to_Sohrab/processed/fitclone/sa535_cisplatin__285_1__2020121414-03-19.csv_SA535_CISPLATIN_CombinedU_new_divergent_colours_matching_new_.rds,2,SA535_CISPLATIN_CombinedU,SA535_CISPLATIN_Combined,SA535_CISPLATINU,B_SA535_CISPLATIN_Combined,#B997C6FF
D,/Users/sohrabsalehi/projects/fitness_material/fitness_code_repo/fitclone/data/SA535_combined_CISPLATIN_CX5461_to_Sohrab/processed/fitclone/sa535_cisplatin__285_1__2020121414-03-19.csv_SA535_CISPLATIN_CombinedU_new_divergent_colours_matching_new_.rds,3,SA535_CISPLATIN_CombinedU,SA535_CISPLATIN_Combined,SA535_CISPLATINU,D_SA535_CISPLATIN_Combined,#4E79C4FF
E,/Users/sohrabsalehi/projects/fitness_material/fitness_code_repo/fitclone/data/SA535_combined_CISPLATIN_CX5461_to_Sohrab/processed/fitclone/sa535_cisplatin__285_1__2020121414-03-19.csv_SA535_CISPLATIN_CombinedU_new_divergent_colours_matching_new_.rds,4,SA535_CISPLATIN_CombinedU,SA535_CISPLATIN_Combined,SA535_CISPLATINU,E_SA535_CISPLATIN_Combined,#D0B440FF
F,/Users/sohrabsalehi/projects/fitness_material/fitness_code_repo/fitclone/data/SA535_combined_CISPLATIN_CX5461_to_Sohrab/processed/fitclone/sa535_cisplatin__285_1__2020121414-03-19.csv_SA535_CISPLATIN_CombinedU_new_divergent_colours_matching_new_.rds,5,SA535_CISPLATIN_CombinedU,SA535_CISPLATIN_Combined,SA535_CISPLATINU,F_SA535_CISPLATIN_Combined,#7EB875FF
G,/Users/sohrabsalehi/projects/fitness_material/fitness_code_repo/fitclone/data/SA535_combined_CISPLATIN_CX5461_to_Sohrab/processed/fitclone/sa535_cisplatin__285_1__2020121414-03-19.csv_SA535_CISPLATIN_CombinedU_new_divergent_colours_matching_new_.rds,6,SA535_CISPLATIN_CombinedU,SA535_CISPLATIN_Combined,SA535_CISPLATINU,G_SA535_CISPLATIN_Combined,#57A2ACFF
H,/Users/sohrabsalehi/projects/fitness_material/fitness_code_repo/fitclone/data/SA535_combined_CISPLATIN_CX5461_to_Sohrab/processed/fitclone/sa535_cisplatin__285_1__2020121414-03-19.csv_SA535_CISPLATIN_CombinedU_new_divergent_colours_matching_new_.rds,7,SA535_CISPLATIN_CombinedU,SA535_CISPLATIN_Combined,SA535_CISPLATINU,H_SA535_CISPLATIN_Combined,#CE2220FF
I,/Users/sohrabsalehi/projects/fitness_material/fitness_code_repo/fitclone/data/SA535_combined_CISPLATIN_CX5461_to_Sohrab/processed/fitclone/sa535_cisplatin__285_1__2020121414-03-19.csv_SA535_CISPLATIN_CombinedU_new_divergent_colours_matching_new_.rds,8,SA535_CISPLATIN_CombinedU,SA535_CISPLATIN_Combined,SA535_CISPLATINU,I_SA535_CISPLATIN_Combined,#E7EBFAFF
J,/Users/sohrabsalehi/projects/fitness_material/fitness_code_repo/fitclone/data/SA535_combined_CISPLATIN_CX5461_to_Sohrab/processed/fitclone/sa535_cisplatin__285_1__2020121414-03-19.csv_SA535_CISPLATIN_CombinedU_new_divergent_colours_matching_new_.rds,9,SA535_CISPLATIN_CombinedU,SA535_CISPLATIN_Combined,SA535_CISPLATINU,J_SA535_CISPLATIN_Combined,#E67F33FF
C,/Users/sohrabsalehi/projects/fitness_material/fitness_code_repo/fitclone/data/SA535_combined_CISPLATIN_CX5461_to_Sohrab/processed/fitclone/sa535_cisplatin__285_1__2020121414-03-19.csv_SA535_CISPLATIN_CombinedU_new_divergent_colours_matching_new_.rds,10,SA535_CISPLATIN_CombinedU,SA535_CISPLATIN_Combined,SA535_CISPLATINU,C_SA535_CISPLATIN_Combined,#824D99FF
A,/Users/sohrabsalehi/projects/fitness_material/fitness_code_repo/fitclone/data/SA535_combined_CISPLATIN_CX5461_to_Sohrab/processed/fitclone/sa535_cisplatin__477_44__2020121417-07-09.csv_SA535_CISPLATIN_CombinedT_new_divergent_colours_matching_new_.rds,1,SA535_CISPLATIN_CombinedT,SA535_CISPLATIN_Combined,SA535_CISPLATINU,A_SA535_CISPLATIN_Combined,#521913FF
B,/Users/sohrabsalehi/projects/fitness_material/fitness_code_repo/fitclone/data/SA535_combined_CISPLATIN_CX5461_to_Sohrab/processed/fitclone/sa535_cisplatin__477_44__2020121417-07-09.csv_SA535_CISPLATIN_CombinedT_new_divergent_colours_matching_new_.rds,2,SA535_CISPLATIN_CombinedT,SA535_CISPLATIN_Combined,SA535_CISPLATINU,B_SA535_CISPLATIN_Combined,#B997C6FF
D,/Users/sohrabsalehi/projects/fitness_material/fitness_code_repo/fitclone/data/SA535_combined_CISPLATIN_CX5461_to_Sohrab/processed/fitclone/sa535_cisplatin__477_44__2020121417-07-09.csv_SA535_CISPLATIN_CombinedT_new_divergent_colours_matching_new_.rds,3,SA535_CISPLATIN_CombinedT,SA535_CISPLATIN_Combined,SA535_CISPLATINU,D_SA535_CISPLATIN_Combined,#4E79C4FF
E,/Users/sohrabsalehi/projects/fitness_material/fitness_code_repo/fitclone/data/SA535_combined_CISPLATIN_CX5461_to_Sohrab/processed/fitclone/sa535_cisplatin__477_44__2020121417-07-09.csv_SA535_CISPLATIN_CombinedT_new_divergent_colours_matching_new_.rds,4,SA535_CISPLATIN_CombinedT,SA535_CISPLATIN_Combined,SA535_CISPLATINU,E_SA535_CISPLATIN_Combined,#D0B440FF
